1747830521.51,0,8.83,-729.87,3.85,6.95,1.18,8.83,-729.87,0.00,-1.28,1.88 
1747830521.61,0,8.80,-729.69,3.60,6.94,1.22,8.80,-729.69,0.00,-1.21,1.88 
1747830521.91,0,8.55,-729.12,3.75,7.33,1.16,8.55,-729.12,0.00,-1.15,1.88 
1747830522.01,0,8.49,-728.92,3.74,7.75,1.14,8.49,-728.92,0.00,-1.11,1.89 
1747830522.11,0,8.41,-728.72,3.64,7.49,1.16,8.41,-728.72,0.00,-1.10,1.90 
1747830522.21,0,8.31,-728.51,3.31,6.57,1.11,8.31,-728.51,0.00,-1.09,1.91 
1747830522.41,0,8.20,-728.02,5.16,7.69,0.59,8.20,-728.02,0.00,-1.03,1.97 
1747830522.51,0,8.11,-727.81,3.43,6.83,1.12,8.11,-727.81,0.00,-1.03,1.97 
1747830522.71,0,7.93,-727.27,4.60,6.91,0.56,7.93,-727.27,0.00,-1.01,2.05 
1747830522.81,0,7.87,-726.97,4.35,6.65,0.53,7.87,-726.97,0.00,-0.99,2.10 
1747830522.91,0,7.81,-726.68,4.28,6.48,0.53,7.81,-726.68,0.00,-0.97,2.14 
1747830523.01,0,7.74,-726.43,3.51,5.84,0.65,7.74,-726.43,0.00,-0.96,2.16 
1747830523.21,0,7.55,-725.93,3.41,6.12,0.64,7.55,-725.93,0.00,-0.96,2.19 
1747830523.31,0,7.45,-725.63,3.32,5.81,0.53,7.45,-725.63,0.00,-0.96,2.23 
1747830523.51,0,7.21,-725.17,2.29,5.83,0.98,7.21,-725.17,0.00,-0.98,2.23 
1747830523.71,0,7.01,-724.71,2.23,4.97,0.75,7.01,-724.71,0.00,-0.98,2.24 
1747830523.91,0,6.82,-724.24,1.79,4.14,0.68,6.82,-724.24,0.00,-0.98,2.25 
1747830524.21,0,6.50,-723.59,1.66,3.30,0.86,6.50,-723.59,0.00,-0.99,2.24 
1747830524.31,0,6.40,-723.37,1.35,3.73,0.55,6.40,-723.37,0.00,-0.99,2.24 
1747830524.41,0,6.31,-723.14,1.67,2.78,0.46,6.31,-723.14,0.00,-0.99,2.24 
1747830524.61,0,6.12,-722.71,1.72,4.19,0.46,6.12,-722.71,0.00,-0.98,2.23 
1747830524.81,0,5.96,-722.31,2.00,4.52,0.35,5.96,-722.31,0.00,-0.97,2.21 
1747830524.91,0,5.92,-722.07,2.75,4.45,0.61,5.92,-722.07,0.00,-0.94,2.22 
1747830525.01,0,5.78,-721.85,2.20,4.14,1.06,5.78,-721.85,0.00,-0.96,2.22 
1747830525.11,0,5.68,-721.65,2.13,4.16,0.61,5.68,-721.65,0.00,-0.96,2.21 
1747830525.41,0,5.37,-721.03,2.61,4.40,0.62,5.37,-721.03,0.00,-0.98,2.19 
1747830525.61,0,5.12,-720.62,2.86,4.27,0.57,5.12,-720.62,0.00,-1.00,2.18 
