3,0,8.501,-728.956,3.742,7.674,1.144,8.501,-728.956,0.000,-1.117,1.888
4,0,7.751,-726.468,3.626,5.936,0.632,7.751,-726.468,0.000,-0.962,2.157
5,0,6.820,-724.240,1.790,4.140,0.680,6.820,-724.240,0.000,-0.980,2.250
6,0,5.800,-721.881,2.277,4.183,0.997,5.800,-721.881,0.000,-0.957,2.220
7,0,4.414,-719.806,3.116,5.186,0.672,4.414,-719.806,0.000,-1.142,2.166
8,0,2.862,-717.325,1.990,6.783,0.678,2.862,-717.325,0.000,-1.315,2.307
9,0,1.255,-714.528,1.726,4.991,0.550,1.255,-714.528,0.000,-1.420,2.490
10,0,-0.517,-711.543,1.995,6.021,0.612,-0.517,-711.543,0.000,-1.578,2.708
11,0,-2.778,-708.314,2.363,7.130,0.728,-2.778,-708.314,0.000,-1.865,2.918
12,0,-5.265,-704.922,1.684,8.870,0.652,-5.265,-704.922,0.000,-2.102,3.108
13,0,-7.801,-701.648,1.988,8.038,0.686,-7.801,-701.648,0.000,-2.267,3.168
14,0,-10.322,-698.371,2.135,8.260,0.742,-10.322,-698.371,0.000,-2.378,3.220
15,0,-12.974,-694.951,1.648,9.393,0.663,-12.974,-694.951,0.000,-2.488,3.298
16,0,-15.049,-692.662,3.700,12.363,0.720,-15.049,-692.662,0.000,-2.309,2.872
17,0,-18.316,-688.173,2.626,13.186,0.580,-18.316,-688.173,0.000,-2.677,3.502
18,0,-21.419,-684.543,7.107,10.953,1.262,-21.419,-684.543,0.000,-2.886,3.640
19,0,-23.767,-681.354,7.652,18.977,0.622,-23.767,-681.354,0.000,-2.613,3.419
20,0,-28.130,-676.070,2.570,14.300,0.780,-28.130,-676.070,0.000,-3.300,4.140
21,0,-32.231,-670.928,2.308,8.959,0.724,-32.231,-670.928,0.000,-3.622,4.537
22,0,-35.704,-666.680,2.065,8.664,0.783,-35.704,-666.680,0.000,-3.553,4.413
23,0,-38.481,-663.055,2.176,10.232,0.687,-38.481,-663.055,0.000,-3.245,4.114
24,0,-41.280,-659.406,2.144,10.426,0.746,-41.280,-659.406,0.000,-3.076,3.928
25,0,-42.933,-657.528,3.995,11.978,0.628,-42.933,-657.528,0.000,-2.434,3.012
26,0,-45.818,-653.834,2.490,10.844,0.774,-45.818,-653.834,0.000,-2.640,3.316
27,0,-48.974,-649.850,2.749,9.045,0.774,-48.974,-649.850,0.000,-2.848,3.582
28,0,-51.973,-646.095,2.468,8.737,0.679,-51.973,-646.095,0.000,-2.904,3.654
29,0,-54.993,-642.313,2.468,8.288,0.724,-54.993,-642.313,0.000,-2.958,3.708
30,0,-57.949,-638.686,2.290,8.656,0.648,-57.949,-638.686,0.000,-2.958,3.678
31,0,-60.770,-635.020,2.360,10.430,0.590,-60.770,-635.020,0.000,-3.000,3.800
32,0,-64.321,-630.214,2.629,10.552,0.684,-64.321,-630.214,0.000,-3.130,4.086
33,0,-67.985,-625.317,2.295,11.558,0.718,-67.985,-625.317,0.000,-3.347,4.407
34,0,-71.981,-620.192,2.476,8.896,0.682,-71.981,-620.192,0.000,-3.591,4.681
35,0,-76.223,-614.962,2.612,10.079,0.642,-76.223,-614.962,0.000,-3.870,4.922
36,0,-80.080,-610.320,2.550,9.620,0.670,-80.080,-610.320,0.000,-4.000,4.970
37,0,-84.542,-604.902,1.933,8.817,0.722,-84.542,-604.902,0.000,-4.051,4.991
38,0,-88.415,-600.089,1.983,9.562,0.660,-88.415,-600.089,0.000,-3.981,4.920
39,0,-92.029,-595.580,2.600,9.298,0.625,-92.029,-595.580,0.000,-3.842,4.762
40,0,-95.246,-591.256,2.374,7.780,0.673,-95.246,-591.256,0.000,-3.587,4.585
41,0,-98.560,-586.660,2.310,6.620,0.690,-98.560,-586.660,0.000,-3.470,4.570
42,0,-101.564,-582.491,5.696,7.380,0.106,-101.564,-582.491,0.000,-3.295,4.422
43,0,-103.914,-579.205,2.689,10.213,0.835,-103.914,-579.205,0.000,-2.870,3.907
44,0,-106.202,-575.912,2.728,12.472,0.672,-106.202,-575.912,0.000,-2.700,3.761
45,0,-109.472,-570.951,2.733,9.737,0.655,-109.472,-570.951,0.000,-2.929,4.244
46,0,-112.432,-566.465,2.178,7.764,0.611,-112.432,-566.465,0.000,-2.940,4.336
47,0,-115.372,-561.973,2.067,8.196,0.618,-115.372,-561.973,0.000,-2.934,4.385
48,0,-118.061,-557.849,2.229,8.249,0.561,-118.061,-557.849,0.000,-2.836,4.290
49,0,-120.627,-553.593,2.630,7.851,0.537,-120.627,-553.593,0.000,-2.726,4.274
50,0,-122.870,-549.620,2.660,9.140,0.480,-122.870,-549.620,0.000,-2.630,4.310
51,0,-125.347,-544.625,3.292,7.793,0.340,-125.347,-544.625,0.000,-2.472,4.429
52,0,-127.169,-540.155,3.792,8.689,0.300,-127.169,-540.155,0.000,-2.206,4.455
53,0,-128.450,-535.870,3.730,8.590,0.280,-128.450,-535.870,0.000,-1.990,4.720
54,0,-128.865,-532.846,5.374,11.847,0.058,-128.865,-532.846,0.000,-1.124,3.521
55,0,-130.041,-527.591,2.477,17.087,0.273,-130.041,-527.591,0.000,-1.242,4.447
