1,0,-278.845,-928.772,1.077,8.318,0.460,-278.845,-928.772,0.000,-2.913,4.748
1,1,-270.922,-840.297,1.662,1.453,0.090,-270.922,-840.297,0.000,-3.562,0.768
1,2,-546.920,-1009.675,2.227,1.260,0.932,-546.920,-1009.675,0.000,1.890,3.292
2,0,-281.677,-924.234,1.047,7.979,0.491,-281.677,-924.234,0.000,-3.885,6.247
2,1,-273.047,-840.836,1.867,2.052,1.286,-273.047,-840.836,0.000,-3.645,-0.007
2,2,-544.412,-1005.392,3.101,1.472,0.950,-544.412,-1005.392,0.000,3.058,5.241
3,0,-283.989,-920.691,0.935,7.877,0.531,-283.989,-920.691,0.000,-4.351,6.887
3,1,-274.820,-840.887,2.253,2.667,1.393,-274.820,-840.887,0.000,-3.812,-0.045
3,2,-542.149,-1001.813,4.192,1.704,0.965,-542.149,-1001.813,0.000,3.717,6.185
4,0,-286.410,-916.970,1.230,7.420,0.500,-286.410,-916.970,0.000,-4.710,7.380
4,1,-276.480,-840.650,3.880,3.230,0.090,-276.480,-840.650,0.000,-3.850,0.100
4,2,-539.620,-998.110,6.330,2.290,1.150,-539.620,-998.110,0.000,4.300,6.840
5,0,-288.808,-913.365,0.943,6.685,0.619,-288.808,-913.365,0.000,-4.891,7.581
5,1,-278.263,-840.913,4.408,6.281,1.310,-278.263,-840.913,0.000,-3.911,-0.062
5,2,-537.225,-994.453,9.834,3.012,1.010,-537.225,-994.453,0.000,4.571,7.193
6,0,-290.710,-910.680,1.170,7.800,0.650,-290.710,-910.680,0.000,-5.070,7.740
6,1,-279.670,-841.190,5.260,10.840,1.300,-279.670,-841.190,0.000,-4.000,-0.190
6,2,-535.420,-991.600,19.290,5.640,1.030,-535.420,-991.600,0.000,4.760,7.500
7,0,-293.683,-906.308,1.470,7.765,0.660,-293.683,-906.308,0.000,-5.183,7.832
7,1,-281.768,-841.136,16.859,6.754,0.090,-281.768,-841.136,0.000,-3.970,-0.118
7,2,-532.742,-987.086,19.129,6.097,1.076,-532.742,-987.086,0.000,4.817,7.713
8,0,-297.121,-901.698,1.578,7.105,0.656,-297.121,-901.698,0.000,-5.448,7.976
8,1,-283.897,-840.980,12.678,11.834,0.671,-283.897,-840.980,0.000,-3.957,-0.027
8,2,-529.593,-982.038,17.430,7.105,1.085,-529.593,-982.038,0.000,5.017,8.091
10,0,-302.498,-894.964,1.861,5.690,0.710,-302.498,-894.964,0.000,-5.689,7.841
10,1,-287.173,-840.981,18.495,6.040,0.094,-287.173,-840.981,0.000,-3.860,-0.020
10,2,-525.776,-974.068,16.004,7.094,1.120,-525.776,-974.068,0.000,4.742,8.449
11,0,-305.959,-891.121,2.542,7.244,0.626,-305.959,-891.121,0.000,-5.949,7.787
11,1,-289.095,-841.314,6.378,17.572,1.526,-289.095,-841.314,0.000,-3.845,-0.164
11,2,-523.726,-969.327,17.306,5.875,1.156,-523.726,-969.327,0.000,4.585,8.654
12,0,-308.950,-887.897,2.125,6.149,0.661,-308.950,-887.897,0.000,-6.151,7.720
12,1,-290.781,-841.522,5.806,17.975,1.550,-290.781,-841.522,0.000,-3.850,-0.240
12,2,-522.039,-965.282,16.643,6.615,1.210,-522.039,-965.282,0.000,4.449,8.801
13,0,-311.840,-884.920,2.460,6.210,0.670,-311.840,-884.920,0.000,-6.310,7.610
13,1,-292.410,-841.760,18.790,5.930,0.090,-292.410,-841.760,0.000,-3.870,-0.300
13,2,-520.600,-961.390,16.100,5.120,1.200,-520.600,-961.390,0.000,4.260,8.910
14,0,-314.730,-881.770,2.310,6.130,0.710,-314.730,-881.770,0.000,-6.370,7.530
14,1,-294.000,-841.990,5.900,16.880,1.550,-294.000,-841.990,0.000,-3.830,-0.350
14,2,-519.100,-957.440,16.200,5.980,1.220,-519.100,-957.440,0.000,4.090,8.940
15,0,-318.580,-877.950,1.930,9.260,0.740,-318.580,-877.950,0.000,-6.290,7.120
15,1,-296.180,-842.120,17.700,6.090,0.090,-296.180,-842.120,0.000,-3.720,-0.310
15,2,-517.500,-952.300,18.560,6.740,1.250,-517.500,-952.300,0.000,3.670,8.710
16,0,-321.414,-875.356,2.082,6.933,0.800,-321.414,-875.356,0.000,-6.290,6.850
16,1,-297.776,-842.319,6.152,17.760,1.538,-297.776,-842.319,0.000,-3.690,-0.340
16,2,-516.482,-948.558,16.633,5.815,1.270,-516.482,-948.558,0.000,3.390,8.630
17,0,-323.620,-873.240,1.820,6.950,0.760,-323.620,-873.240,0.000,-6.290,6.720
17,1,-299.010,-842.440,5.550,17.920,1.550,-299.010,-842.440,0.000,-3.660,-0.340
17,2,-515.600,-945.630,16.330,6.790,1.280,-515.600,-945.630,0.000,3.250,8.580
18,0,-327.546,-869.533,1.553,5.856,0.830,-327.546,-869.533,0.000,-6.310,6.530
18,1,-301.123,-842.501,16.716,6.361,0.090,-301.123,-842.501,0.000,-3.600,-0.271
18,2,-514.224,-940.309,16.443,6.090,1.310,-514.224,-940.309,0.000,2.971,8.599
19,0,-330.548,-866.908,1.989,6.010,0.849,-330.548,-866.908,0.000,-6.399,6.402
19,1,-303.138,-842.659,15.375,5.673,0.090,-303.138,-842.659,0.000,-3.788,-0.290
19,2,-513.389,-936.352,15.783,6.573,1.340,-513.389,-936.352,0.000,2.752,8.650
20,0,-334.738,-863.173,1.983,6.445,0.860,-334.738,-863.173,0.000,-6.420,6.230
20,1,-305.230,-842.860,18.084,6.233,0.117,-305.230,-842.860,0.000,-3.630,-0.290
20,2,-512.186,-930.836,16.364,4.689,1.449,-512.186,-930.836,0.000,2.508,8.620
21,0,-337.480,-860.640,1.820,6.230,0.880,-337.480,-860.640,0.000,-6.410,6.160
21,1,-306.750,-842.910,17.590,6.520,0.090,-306.750,-842.910,0.000,-3.610,-0.260
21,2,-511.500,-927.120,15.870,6.130,1.380,-511.500,-927.120,0.000,2.340,8.630
22,0,-340.300,-858.316,2.561,6.118,0.890,-340.300,-858.316,0.000,-6.449,6.021
22,1,-308.349,-843.226,18.898,5.733,0.132,-308.349,-843.226,0.000,-3.630,-0.349
22,2,-510.903,-923.456,15.888,6.112,1.400,-510.903,-923.456,0.000,2.152,8.610
23,0,-343.865,-855.415,2.410,6.500,0.860,-343.865,-855.415,0.000,-6.490,5.875
23,1,-310.455,-843.380,18.240,6.225,0.090,-310.455,-843.380,0.000,-3.700,-0.330
23,2,-510.220,-918.875,16.615,6.255,1.415,-510.220,-918.875,0.000,1.950,8.590
24,0,-347.397,-852.670,2.223,5.900,0.930,-347.397,-852.670,0.000,-6.570,5.750
24,1,-312.373,-843.540,18.209,6.889,0.114,-312.373,-843.540,0.000,-3.700,-0.321
24,2,-509.781,-914.467,15.205,6.792,1.450,-509.781,-914.467,0.000,1.701,8.580
25,0,-350.586,-850.390,2.613,5.631,0.940,-350.586,-850.390,0.000,-6.679,5.621
25,1,-314.013,-843.539,18.463,5.719,0.090,-314.013,-843.539,0.000,-3.690,-0.260
