8,1,-159.370,-267.090,1.280,0.060,0.300,-152.784,-294.317,0.000,1.270,-5.250
8,1,-159.370,-267.090,1.280,0.060,0.300,-146.198,-321.543,0.000,1.270,-5.250
9,1,-157.160,-273.000,1.760,0.250,0.250,-149.643,-296.478,0.000,1.540,-4.810
9,1,-157.160,-273.000,1.760,0.250,0.250,-142.127,-319.955,0.000,1.540,-4.810
10,1,-155.910,-276.380,1.220,0.030,0.290,-148.130,-299.517,0.000,1.530,-4.550
10,1,-155.910,-276.380,1.220,0.030,0.290,-140.350,-322.654,0.000,1.530,-4.550
12,1,-153.230,-284.910,1.170,0.210,1.380,-146.701,-304.996,0.000,1.310,-4.030
12,1,-153.230,-284.910,1.170,0.210,1.380,-140.172,-325.081,0.000,1.310,-4.030
13,1,-152.440,-289.020,1.320,0.070,0.390,-147.606,-309.351,0.000,0.970,-4.080
13,1,-152.440,-289.020,1.320,0.070,0.390,-142.773,-329.681,0.000,0.970,-4.080
14,1,-150.780,-292.920,0.530,1.270,1.440,-144.000,-312.710,0.000,1.360,-3.970
14,1,-150.780,-292.920,0.530,1.270,1.440,-137.221,-332.501,0.000,1.360,-3.970
15,1,-148.380,-298.080,1.400,0.640,0.710,-139.544,-319.317,0.000,1.810,-4.350
15,1,-148.380,-298.080,1.400,0.640,0.710,-130.707,-340.553,0.000,1.810,-4.350
16,1,-147.060,-301.750,1.740,3.540,0.290,-138.730,-323.049,0.000,1.670,-4.270
16,1,-147.060,-301.750,1.740,3.540,0.290,-130.400,-344.348,0.000,1.670,-4.270
17,1,-145.380,-304.900,1.440,3.230,1.060,-136.332,-324.724,0.000,1.780,-3.900
17,1,-145.380,-304.900,1.440,3.230,1.060,-127.285,-344.547,0.000,1.780,-3.900
18,1,-143.570,-309.210,1.520,1.250,0.340,-135.252,-328.686,0.000,1.670,-3.910
18,1,-143.570,-309.210,1.520,1.250,0.340,-126.933,-348.161,0.000,1.670,-3.910
19,1,-142.080,-313.430,1.290,0.230,0.460,-134.658,-332.278,0.000,1.520,-3.860
19,1,-142.080,-313.430,1.290,0.230,0.460,-127.236,-351.127,0.000,1.520,-3.860
20,1,-140.980,-317.860,2.130,0.750,1.000,-134.202,-339.889,0.000,1.360,-4.420
20,1,-140.980,-317.860,2.130,0.750,1.000,-127.424,-361.919,0.000,1.360,-4.420
21,1,-139.860,-322.460,2.010,0.660,0.480,-133.829,-345.137,0.000,1.210,-4.550
21,1,-139.860,-322.460,2.010,0.660,0.480,-127.799,-367.814,0.000,1.210,-4.550
22,1,-139.860,-327.430,2.620,0.990,1.300,-136.810,-353.104,0.000,0.600,-5.050
22,1,-139.860,-327.430,2.620,0.990,1.300,-133.759,-378.778,0.000,0.600,-5.050
23,1,-140.050,-332.580,2.240,1.710,0.210,-138.983,-358.147,0.000,0.210,-5.030
23,1,-140.050,-332.580,2.240,1.710,0.210,-137.915,-383.715,0.000,0.210,-5.030
24,1,-142.330,-338.370,1.660,0.600,1.100,-147.561,-362.522,0.000,-1.070,-4.940
24,1,-142.330,-338.370,1.660,0.600,1.100,-152.792,-386.673,0.000,-1.070,-4.940
25,1,-145.240,-342.190,2.190,1.060,0.840,-156.010,-365.026,0.000,-2.160,-4.580
25,1,-145.240,-342.190,2.190,1.060,0.840,-166.780,-387.862,0.000,-2.160,-4.580
27,1,-153.120,-348.970,5.170,2.980,0.330,-172.490,-367.272,0.000,-3.810,-3.600
27,1,-153.120,-348.970,5.170,2.980,0.330,-191.860,-385.575,0.000,-3.810,-3.600
28,1,-159.290,-351.240,3.870,5.660,1.370,-181.996,-363.643,0.000,-4.650,-2.540
28,1,-159.290,-351.240,3.870,5.660,1.370,-204.702,-376.046,0.000,-4.650,-2.540
29,1,-163.990,-351.470,4.060,6.690,1.360,-188.885,-358.241,0.000,-5.000,-1.360
29,1,-163.990,-351.470,4.060,6.690,1.360,-213.780,-365.013,0.000,-5.000,-1.360
30,1,-169.440,-350.760,3.680,8.070,1.120,-195.352,-351.806,0.000,-5.200,-0.210
30,1,-169.440,-350.760,3.680,8.070,1.120,-221.263,-352.853,0.000,-5.200,-0.210
31,1,-174.220,-349.010,4.140,8.070,0.860,-198.926,-344.776,0.000,-4.960,0.850
31,1,-174.220,-349.010,4.140,8.070,0.860,-223.632,-340.542,0.000,-4.960,0.850
32,1,-178.380,-345.240,3.470,7.760,0.650,-201.202,-332.932,0.000,-4.580,2.470
32,1,-178.380,-345.240,3.470,7.760,0.650,-224.024,-320.624,0.000,-4.580,2.470
33,1,-181.940,-341.200,3.890,8.240,0.780,-201.469,-324.959,0.000,-3.920,3.260
33,1,-181.940,-341.200,3.890,8.240,0.780,-220.999,-308.717,0.000,-3.920,3.260
35,1,-186.270,-331.200,3.820,7.690,0.110,-197.181,-308.034,0.000,-2.190,4.650
35,1,-186.270,-331.200,3.820,7.690,0.110,-208.091,-284.867,0.000,-2.190,4.650
36,1,-187.060,-324.990,3.490,5.950,0.340,-194.085,-297.340,0.000,-1.410,5.550
36,1,-187.060,-324.990,3.490,5.950,0.340,-201.109,-269.690,0.000,-1.410,5.550
37,1,-187.230,-318.730,4.460,2.350,1.360,-190.967,-289.380,0.000,-0.750,5.890
37,1,-187.230,-318.730,4.460,2.350,1.360,-194.705,-260.030,0.000,-0.750,5.890
38,1,-187.370,-313.930,4.940,2.280,1.560,-189.514,-287.006,0.000,-0.430,5.400
38,1,-187.370,-313.930,4.940,2.280,1.560,-191.658,-260.081,0.000,-0.430,5.400
39,1,-187.590,-309.170,4.800,1.490,1.410,-189.216,-281.930,0.000,-0.320,5.360
39,1,-187.590,-309.170,4.800,1.490,1.410,-190.842,-254.691,0.000,-0.320,5.360
40,1,-187.990,-304.130,2.110,1.930,0.150,-189.734,-279.813,0.000,-0.350,4.880
40,1,-187.990,-304.130,2.110,1.930,0.150,-191.478,-255.496,0.000,-0.350,4.880
41,1,-188.440,-299.370,1.700,0.820,0.250,-190.434,-275.392,0.000,-0.400,4.810
41,1,-188.440,-299.370,1.700,0.820,0.250,-192.428,-251.414,0.000,-0.400,4.810
42,1,-188.990,-294.090,2.500,1.460,0.370,-191.292,-270.682,0.000,-0.470,4.780
42,1,-188.990,-294.090,2.500,1.460,0.370,-193.593,-247.275,0.000,-0.470,4.780
43,1,-189.180,-290.840,2.170,1.090,0.450,-191.201,-266.381,0.000,-0.390,4.720
43,1,-189.180,-290.840,2.170,1.090,0.450,-193.222,-241.922,0.000,-0.390,4.720
44,1,-189.520,-285.310,1.780,2.790,0.060,-190.995,-260.393,0.000,-0.290,4.900
44,1,-189.520,-285.310,1.780,2.790,0.060,-192.469,-235.477,0.000,-0.290,4.900
45,1,-189.820,-280.090,2.110,3.050,0.270,-191.315,-256.072,0.000,-0.300,4.820
45,1,-189.820,-280.090,2.110,3.050,0.270,-192.810,-232.054,0.000,-0.300,4.820
46,1,-189.730,-275.660,1.200,0.710,0.170,-190.278,-252.824,0.000,-0.110,4.580
46,1,-189.730,-275.660,1.200,0.710,0.170,-190.827,-229.988,0.000,-0.110,4.580
47,1,-190.330,-271.180,1.680,1.790,0.150,-192.514,-246.496,0.000,-0.430,4.860
47,1,-190.330,-271.180,1.680,1.790,0.150,-194.698,-221.812,0.000,-0.430,4.860
48,1,-190.670,-265.860,2.250,3.960,0.340,-192.216,-241.778,0.000,-0.310,4.830
48,1,-190.670,-265.860,2.250,3.960,0.340,-193.761,-217.695,0.000,-0.310,4.830
49,1,-191.300,-261.710,2.050,3.430,0.180,-193.945,-237.704,0.000,-0.520,4.720
49,1,-191.300,-261.710,2.050,3.430,0.180,-196.589,-213.698,0.000,-0.520,4.720
50,1,-192.230,-257.280,1.860,3.660,0.160,-195.991,-234.102,0.000,-0.740,4.560
50,1,-192.230,-257.280,1.860,3.660,0.160,-199.753,-210.923,0.000,-0.740,4.560
51,1,-192.790,-252.790,3.890,2.760,1.200,-196.194,-229.926,0.000,-0.670,4.500
51,1,-192.790,-252.790,3.890,2.760,1.200,-199.599,-207.061,0.000,-0.670,4.500
52,1,-193.330,-248.010,1.920,3.380,0.190,-196.070,-226.139,0.000,-0.550,4.390
52,1,-193.330,-248.010,1.920,3.380,0.190,-198.810,-204.268,0.000,-0.550,4.390
53,1,-193.970,-243.660,2.040,2.320,0.270,-196.860,-221.789,0.000,-0.580,4.390
53,1,-193.970,-243.660,2.040,2.320,0.270,-199.749,-199.918,0.000,-0.580,4.390
54,1,-194.740,-239.220,2.070,2.880,0.200,-198.080,-217.186,0.000,-0.670,4.420
54,1,-194.740,-239.220,2.070,2.880,0.200,-201.420,-195.153,0.000,-0.670,4.420
55,1,-195.300,-234.200,4.070,2.760,0.030,-198.587,-210.490,0.000,-0.660,4.760
55,1,-195.300,-234.200,4.070,2.760,0.030,-201.875,-186.781,0.000,-0.660,4.760
56,1,-196.090,-228.970,2.330,2.560,1.280,-199.779,-204.045,0.000,-0.740,5.000
56,1,-196.090,-228.970,2.330,2.560,1.280,-203.468,-179.120,0.000,-0.740,5.000
57,1,-196.710,-223.550,1.920,2.990,0.180,-199.997,-197.450,0.000,-0.660,5.240
57,1,-196.710,-223.550,1.920,2.990,0.180,-203.285,-171.349,0.000,-0.660,5.240
58,1,-197.320,-218.130,1.830,2.320,1.140,-200.756,-191.487,0.000,-0.690,5.350
58,1,-197.320,-218.130,1.830,2.320,1.140,-204.192,-164.844,0.000,-0.690,5.350
59,1,-198.100,-212.420,1.340,2.090,0.470,-201.736,-184.825,0.000,-0.730,5.540
59,1,-198.100,-212.420,1.340,2.090,0.470,-205.372,-157.231,0.000,-0.730,5.540
60,1,-198.790,-206.250,1.860,3.170,0.150,-202.061,-178.911,0.000,-0.670,5.600
60,1,-198.790,-206.250,1.860,3.170,0.150,-205.332,-151.572,0.000,-0.670,5.600
61,1,-199.150,-201.220,2.260,2.420,0.030,-201.891,-173.365,0.000,-0.550,5.590
61,1,-199.150,-201.220,2.260,2.420,0.030,-204.631,-145.510,0.000,-0.550,5.590
