0.96,1,1,-279.38,-926.75,1.04,1.39,2.15,-279.38,-926.75,0.0
0.96,1,2,-270.32,-840.13,2.08,7.03,-3.05,-270.32,-840.13,0.0
0.96,1,3,-548.71,-1011.30,2.50,8.14,0.92,-548.71,-1011.30,0.0
1.423,2,1,-282.02,-922.75,1.04,1.39,2.16,-282.02,-922.75,0.0
1.423,2,2,-272.24,-840.30,2.08,7.03,-3.05,-272.24,-840.30,0.0
1.423,2,3,-545.86,-1007.44,2.50,8.14,0.95,-545.86,-1007.44,0.0
1.842,3,1,-284.38,-919.28,1.04,1.39,2.18,-284.38,-919.28,0.0
1.842,3,2,-273.91,-840.45,2.08,7.03,-3.05,-273.91,-840.45,0.0
1.842,3,3,-543.45,-1004.00,2.50,8.14,0.97,-543.45,-1004.00,0.0
2.26,4,1,-286.80,-915.84,1.04,1.39,2.19,-286.80,-915.84,0.0
2.26,4,2,-275.58,-840.59,2.08,7.03,-3.05,-275.58,-840.59,0.0
2.26,4,3,-541.11,-1000.51,2.50,8.14,0.99,-541.11,-1000.51,0.0
2.693,5,1,-289.27,-912.44,1.04,1.39,2.21,-289.27,-912.44,0.0
2.693,5,2,-277.26,-840.74,2.08,7.03,-3.05,-277.26,-840.74,0.0
2.693,5,3,-538.85,-996.97,2.50,8.14,1.01,-538.85,-996.97,0.0
3.127,6,1,-291.90,-908.92,1.04,1.39,2.22,-291.90,-908.92,0.0
3.127,6,2,-279.01,-840.89,2.08,7.03,-3.05,-279.01,-840.89,0.0
3.127,6,3,-536.57,-993.21,2.50,8.14,1.04,-536.57,-993.21,0.0
3.545,7,1,-294.47,-905.59,1.04,1.39,2.24,-294.47,-905.59,0.0
3.545,7,2,-280.68,-841.04,2.08,7.03,-3.05,-280.68,-841.04,0.0
3.545,7,3,-534.47,-989.57,2.50,8.14,1.06,-534.47,-989.57,0.0
3.994,8,1,-297.21,-902.15,1.04,1.39,2.25,-297.21,-902.15,0.0
3.994,8,2,-282.44,-841.19,2.08,7.03,-3.05,-282.44,-841.19,0.0
3.994,8,3,-532.36,-985.71,2.50,8.14,1.08,-532.36,-985.71,0.0
4.428,9,1,-300.01,-898.75,1.04,1.39,2.27,-300.01,-898.75,0.0
4.428,9,2,-284.19,-841.34,2.08,7.03,-3.05,-284.19,-841.34,0.0
4.428,9,3,-530.33,-981.80,2.50,8.14,1.11,-530.33,-981.80,0.0
4.878,10,1,-302.85,-895.40,1.04,1.39,2.28,-302.85,-895.40,0.0
4.878,10,2,-285.94,-841.50,2.08,7.03,-3.05,-285.94,-841.50,0.0
4.878,10,3,-528.40,-977.85,2.50,8.14,1.13,-528.40,-977.85,0.0
5.383,11,1,-306.28,-891.49,1.04,1.39,2.30,-306.28,-891.49,0.0
5.383,11,2,-288.01,-841.68,2.08,7.03,-3.05,-288.01,-841.68,0.0
5.383,11,3,-526.24,-973.12,2.50,8.14,1.16,-526.24,-973.12,0.0
5.813,12,1,-309.10,-888.38,1.04,1.39,2.32,-309.10,-888.38,0.0
5.813,12,2,-289.69,-841.82,2.08,7.03,-3.05,-289.69,-841.82,0.0
5.813,12,3,-524.58,-969.26,2.50,8.14,1.18,-524.58,-969.26,0.0
6.23,13,1,-311.97,-885.31,1.04,1.39,2.33,-311.97,-885.31,0.0
6.23,13,2,-291.36,-841.97,2.08,7.03,-3.05,-291.36,-841.97,0.0
6.23,13,3,-523.01,-965.37,2.50,8.14,1.20,-523.01,-965.37,0.0
6.666,14,1,-315.02,-882.14,1.04,1.39,2.35,-315.02,-882.14,0.0
6.666,14,2,-293.11,-842.12,2.08,7.03,-3.05,-293.11,-842.12,0.0
6.666,14,3,-521.46,-961.25,2.50,8.14,1.22,-521.46,-961.25,0.0
7.098,15,1,-317.98,-879.16,1.04,1.39,2.36,-317.98,-879.16,0.0
7.098,15,2,-294.79,-842.27,2.08,7.03,-3.05,-294.79,-842.27,0.0
7.098,15,3,-520.07,-957.29,2.50,8.14,1.24,-520.07,-957.29,0.0
7.549,16,1,-321.27,-875.94,1.04,1.39,2.38,-321.27,-875.94,0.0
7.549,16,2,-296.62,-842.43,2.08,7.03,-3.05,-296.62,-842.43,0.0
7.549,16,3,-518.64,-952.91,2.50,8.14,1.27,-518.64,-952.91,0.0
7.998,17,1,-324.46,-872.91,1.04,1.39,2.39,-324.46,-872.91,0.0
7.998,17,2,-298.37,-842.58,2.08,7.03,-3.05,-298.37,-842.58,0.0
7.998,17,3,-517.38,-948.70,2.50,8.14,1.29,-517.38,-948.70,0.0
8.418,18,1,-327.55,-870.07,1.04,1.39,2.41,-327.55,-870.07,0.0
8.418,18,2,-300.05,-842.73,2.08,7.03,-3.05,-300.05,-842.73,0.0
8.418,18,3,-516.26,-944.65,2.50,8.14,1.31,-516.26,-944.65,0.0
8.865,19,1,-330.99,-867.01,1.04,1.39,2.42,-330.99,-867.01,0.0
8.865,19,2,-301.88,-842.89,2.08,7.03,-3.05,-301.88,-842.89,0.0
8.865,19,3,-515.14,-940.19,2.50,8.14,1.34,-515.14,-940.19,0.0
9.303,20,1,-334.32,-864.13,1.04,1.39,2.44,-334.32,-864.13,0.0
9.303,20,2,-303.63,-843.04,2.08,7.03,-3.05,-303.63,-843.04,0.0
9.303,20,3,-514.18,-935.90,2.50,8.14,1.36,-514.18,-935.90,0.0
9.735,21,1,-337.53,-861.43,1.04,1.39,2.45,-337.53,-861.43,0.0
9.735,21,2,-305.30,-843.19,2.08,7.03,-3.05,-305.30,-843.19,0.0
